Line 1: type='character', name='Griffon', _id='05MMkjlN0ScXUTBu' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 2: type='character', name='Horse', _id='069F47e2x4CbT6s9' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 3: type='character', name='Dimetrodon', _id='0HYMCNjMV5vWgMXP' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 4: type='character', name='Hippopotamus', _id='0dheEWrsMf3PmJx7' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 5: type='character', name='Armorfish', _id='1RjcNzVhEXnqX49a' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 6: type='character', name='Panda', _id='1TKzaADXfegSnjhK' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 7: type='character', name='Yolubilis Heron', _id='1VW3mG5GKwwKbg3J' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 8: type='character', name='Trumpeter Swan', _id='1sb1K1yZf4pRqmXd' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 9: type='character', name='Embolotherium', _id='2J0JEqZ5SpamzaMF' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 10: type='character', name='Gliding Turtle', _id='2LtTEZAsntNmWmG8' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 11: type='character', name='Capybara', _id='2s3csaWdDryve4qI' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
