Line 1: type='character', name='Serpentine Baseform (Small)', _id='1MtxTKRS4WoOq2YK' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 2: type='character', name='Quadruped Baseform', _id='2MtuHihJXq3zcdbW' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 3: type='character', name='Quadruped Baseform (Small)', _id='C1c1pIWUhbO0m54c' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 4: type='character', name='Aquatic Baseform (Small)', _id='IDbgkx3Y0Coto91a' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 5: type='character', name='Biped Baseform (Small)', _id='OlW1rZtFebpvIRKO' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 6: type='character', name='Serpentine Baseform', _id='Thxu8cGB9fglytxD' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 7: type='character', name='Tauric Baseform', _id='UTW9yME6vZMUqCDw' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 8: type='character', name='Tauric Baseform (Small)', _id='b0SoTGipMbqlrtaC' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 9: type='character', name='Avian Baseform', _id='cKGVxfkYbGHsWhsq' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 10: type='character', name='Biped Baseform', _id='hbjII7pJ4ECZ2Z5k' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 11: type='character', name='Avian Baseform (Small)', _id='lJfEdxOW6zeoUiLu' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 12: type='character', name='Aquatic Baseform', _id='sZ0DpKCo4mzz46r6' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
