Line 1: type='npc', name='Entertainment', _id='7uVk35v2pIQBJCvt' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 2: type='npc', name='Mount Merchant', _id='BF2w7sEj3MrUAqez' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 3: type='npc', name='Alchemical Reagents & Tools', _id='CCkERpkJdM2ZhIti' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 4: type='npc', name='Lodging & Food', _id='EfB9mXhPBzBNwNVc' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 5: type='npc', name='Tailor', _id='If2hjs4hEuT4fmUq' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 6: type='npc', name='Alchemical Remedies', _id='IiFJeAJs0HgXmQMS' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 7: type='npc', name='Dinosaur Merchant', _id='Mjw0emjmXTtcI1ZN' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 8: type='npc', name='Alchemical Weapons', _id='SMqwdnasdUiwonSl' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 9: type='npc', name='Containers & Kits', _id='YEXrpG6r3Cw8ctrw' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 10: type='npc', name='Pet Merchant', _id='ZL2yKxLksxmMXN0W' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 11: type='npc', name='Transportion', _id='ZwOhRxl0b5GpxS2a' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 12: type='npc', name='Spellbook Merchant', _id='e0tBiIT9FjMrkhes' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 13: type='npc', name='Tool Merchant', _id='e6kN1rNIhFaZykRh' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 14: type='npc', name='Vehicles', _id='fdJw1p5t3BBDipZW' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 15: type='npc', name='Book Keeper', _id='h5r6z5my0xE9ed3a' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 16: type='npc', name='Black Market Dealer', _id='nN8pFnzpXU2QBiDG' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 17: type='npc', name='Pets/Mounts Gear', _id='o18MJTZtGKgoF7oy' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
Line 18: type='npc', name='Services', _id='vV2rZh2Lhn22bK7t' -> traits.eres: created dict; traits.eres.value: None/missing -> []; traits.dr: created dict; traits.dr.value: None/missing -> []; traits.dv.custom: str -> list
